bucket,variant,gap,auc,wdist,n_users
overall,base,0.9941048928336277,0.7036374985813189,1.0228603636462292,3560
overall,full,1.0010019524971971,0.6956006696175235,1.0017108360444837,3560
sparse,base,0.9941048928336277,0.7036374985813189,1.0228603636462292,3560
sparse,full,1.0010019524971971,0.6956006696175235,1.0017108360444837,3560
medium,base,,,,0
medium,full,,,,0
dense,base,,,,0
dense,full,,,,0
