bucket,variant,gap,auc,wdist,n_users
overall,base,1.0428980354203554,0.6945463777146946,1.0477947346916132,3939
overall,full,0.9644649880910265,0.660984047122661,0.9644672297234941,3939
sparse,base,1.0428980354203554,0.6945463777146946,1.0477947346916132,3939
sparse,full,0.9644649880910265,0.660984047122661,0.9644672297234941,3939
medium,base,,,,0
medium,full,,,,0
dense,base,,,,0
dense,full,,,,0
